collDate,routeId,routeNm,linkId,startNodeId,startNodeNm,endNodeId,endNodeNm,spd,vol,trvlTime,linkDelayTime,congGrade
2026-08-05 21:15:00.0,1020000651,분당수서로,2060017300,2060006200,오리유통센터,2060007600,경기고속삼거리,50,0,22,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060021800,2060008600,속성변화점,2060007600,경기고속삼거리,36,0,18,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060022000,2060012300,티맥스타워,2060007600,경기고속삼거리,54,0,40,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060021900,2060007600,경기고속삼거리,2060008600,속성변화점,50,0,10,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060081100,2060025300,궁내교,2060030600,백현사거리,19,0,154,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2060097500,2060032900,백현지하차도,2060030600,백현사거리,25,0,59,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060072000,2060022500,백현지하차도,2060032900,백현지하차도,68,0,40,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060097400,2060030600,백현사거리,2060032900,백현지하차도,19,0,79,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2060107600,2060035500,수내사거리,2060034100,초림지하차도,34,0,21,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060107800,2060036200,초림지하차도,2060034100,초림지하차도,74,0,18,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060107700,2060034100,초림지하차도,2060035500,수내사거리,19,0,36,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2060112100,2060036200,초림지하차도,2060035500,수내사거리,17,0,32,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2060107900,2060034100,초림지하차도,2060036200,초림지하차도,73,0,18,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060112000,2060035500,수내사거리,2060036200,초림지하차도,26,0,22,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060114900,2060036400,서현지하차도,2060036200,초림지하차도,17,0,9,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2060114800,2060036200,초림지하차도,2060036400,서현지하차도,26,0,6,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2060115400,2060037800,서현교사거리,2060036400,서현지하차도,17,0,40,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2060115600,2060039000,서현지하차도,2060036400,서현지하차도,74,0,21,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060115500,2060036400,서현지하차도,2060037800,서현교사거리,26,0,25,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060120100,2060039000,서현지하차도,2060037800,서현교사거리,41,0,21,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060115700,2060036400,서현지하차도,2060039000,서현지하차도,69,0,23,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060120000,2060037800,서현교사거리,2060039000,서현지하차도,46,0,19,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060123300,2060039500,매송지하차도,2060039000,서현지하차도,47,0,8,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060124800,2060003100,매송사거리,2060039500,매송지하차도,36,0,27,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060125000,2060041700,매송지하차도,2060039500,매송지하차도,60,0,35,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060123200,2060039000,서현지하차도,2060039500,매송지하차도,55,0,7,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060037100,2060012700,신세계빌라,2060012300,티맥스타워,32,0,39,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060033700,2060011200,금곡육교,2060012300,티맥스타워,47,0,28,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060022100,2060007600,경기고속삼거리,2060012300,티맥스타워,70,0,31,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060038000,2060012700,신세계빌라,2060013200,GS주유소금곡,39,0,33,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060040300,2060015800,분당정자로서단,2060013200,GS주유소금곡,22,0,64,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2060038300,2060012700,신세계빌라,2060018100,정자지하차도,73,0,27,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060048600,2060015800,분당정자로서단,2060018100,정자지하차도,46,0,24,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060055302,2060018101,정자동94-10,2060018100,정자지하차도,29,0,6,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2040014000,2040007800,태평지하차도,2040009300,태평지하차도,70,0,18,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2040017400,2040019800,속성변화점,2040009300,태평지하차도,74,0,36,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060061300,2060022500,백현지하차도,2060019700,신한은행백궁지점,23,0,26,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2060055202,2060018101,정자동94-10,2060019700,신한은행백궁지점,46,0,16,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2040017500,2040009300,태평지하차도,2040019800,속성변화점,75,0,36,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2040049100,2040019800,속성변화점,2040020700,송파구-성남시수정구,40,0,2,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060150100,2060047700,벌말지하차도,2040004600,탄천교,69,0,52,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2040411900,2040004900,탄천교,2040004600,탄천교,72,0,14,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2050008200,2050006500,단대천교,2040004900,탄천교,75,0,10,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2040411800,2040004600,탄천교,2040004900,탄천교,69,0,14,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2040415900,2040007800,태평지하차도,2040006000,탄천IC,72,0,26,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060358200,2060077900,구미동197-14,2060109000,성남시분당구-용인시수,77,0,35,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2450124200,2450041700,죽전지하차도,2060109000,성남시분당구-용인시수,75,0,13,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060055201,2060018100,정자지하차도,2060018101,정자동94-10,46,0,4,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2060055301,2060019700,신한은행백궁지점,2060018101,정자동94-10,29,0,25,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2440217200,2450042100,풍덕천제2고가교북측,2440043900,삼성르노자동차삼거리,34,0,46,0,2
2026-08-05 21:15:00.0,1020000651,분당수서로,2450124300,2060109000,성남시분당구-용인시수,2450041700,죽전지하차도,74,0,13,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2450106800,2450041800,죽전지하차도,2450041700,죽전지하차도,75,0,32,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2450106900,2450041700,죽전지하차도,2450041800,죽전지하차도,74,0,33,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2450093100,2450042100,풍덕천제2고가교북측,2450041800,죽전지하차도,75,0,25,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2440217100,2440043900,삼성르노자동차삼거리,2450042100,풍덕천제2고가교북측,12,0,131,0,3
2026-08-05 21:15:00.0,1020000651,분당수서로,2450093200,2450041800,죽전지하차도,2450042100,풍덕천제2고가교북측,60,0,25,0,1
2026-08-05 21:15:00.0,1020000651,분당수서로,2060013900,2060006000,대게전문점,2450042800,농수산물센터사거리,25,0,66,0,2
